City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Torbay,CA,47.6666,-52.7314,27.57,77,100,8.99,overcast clouds
80,Belogorsk,RU,50.9158,128.4611,31.73,94,100,9.19,overcast clouds
81,Lorengau,PG,-2.0226,147.2712,84.15,70,99,4.32,overcast clouds
82,Hermanus,ZA,-34.4187,19.2345,57.79,73,100,16.67,overcast clouds
83,Sola,VU,-13.8833,167.55,82.94,72,72,11.36,broken clouds
84,Chokurdakh,RU,70.6333,147.9167,-2.25,95,41,1.63,scattered clouds
85,Kahului,US,20.8947,-156.47,80.62,54,20,20.71,few clouds
86,Hilo,US,19.7297,-155.09,78.53,70,40,11.5,scattered clouds
87,New Norfolk,AU,-42.7826,147.0587,72.91,44,53,4.0,broken clouds
88,Faanui,PF,-16.4833,-151.75,81.59,73,23,13.42,few clouds
89,Port Alfred,ZA,-33.5906,26.891,67.57,79,91,17.52,moderate rain
90,Matamoros,MX,25.5333,-103.25,62.71,12,0,0.0,clear sky
91,Nouadhibou,MR,20.931,-17.0347,61.48,78,0,21.32,clear sky
92,Leningradskiy,RU,69.3833,178.4167,-6.68,96,86,9.86,overcast clouds
93,Ilulissat,GL,69.2167,-51.1,21.22,49,100,4.61,overcast clouds
94,Bahia Blanca,AR,-38.7196,-62.2724,57.99,94,100,21.43,overcast clouds
95,Los Llanos De Aridane,ES,28.6585,-17.9182,56.12,79,0,4.61,clear sky
96,Cidreira,BR,-30.1811,-50.2056,72.36,86,100,5.19,overcast clouds
97,Pueblo Nuevo,MX,23.3833,-105.3833,50.05,25,0,6.62,clear sky
98,Coquimbo,CL,-29.9533,-71.3436,58.73,94,0,6.91,clear sky
99,Camana,PE,-16.6228,-72.7111,69.37,81,38,6.62,scattered clouds
100,Ushuaia,AR,-54.8,-68.3,44.47,83,93,9.01,overcast clouds
101,Batagay-Alyta,RU,67.8006,130.4114,9.75,73,99,2.82,overcast clouds
102,Bambous Virieux,MU,-20.3428,57.7575,78.22,73,66,8.72,broken clouds
103,Marsa Matruh,EG,31.3525,27.2453,54.43,60,6,20.74,clear sky
104,Hasaki,JP,35.7333,140.8333,63.28,42,14,6.96,few clouds
105,Karanpura,IN,29.1018,75.092,81.91,14,0,3.69,clear sky
106,Kruisfontein,ZA,-34.0033,24.7314,59.88,87,100,12.08,moderate rain
107,Sovetskiy,RU,61.3614,63.5842,20.61,85,99,15.61,overcast clouds
108,Alice Springs,AU,-23.7,133.8833,83.75,32,40,13.8,scattered clouds
109,Maldonado,UY,-34.6667,-54.9167,57.22,76,3,5.7,clear sky
110,Dikson,RU,73.5069,80.5464,10.26,89,87,15.19,overcast clouds
111,Cabo San Lucas,MX,22.8909,-109.9124,74.52,42,40,11.5,scattered clouds
112,Nikolskoye,RU,59.7035,30.7861,37.87,99,100,3.85,overcast clouds
113,Vestmannaeyjar,IS,63.4427,-20.2734,43.12,83,100,16.6,light rain
114,Monster,NL,52.0258,4.175,43.99,82,20,3.44,few clouds
115,Vuktyl,RU,63.8567,57.3094,12.81,90,97,11.88,overcast clouds
116,Galveston,US,29.3669,-94.9669,62.94,59,0,6.91,clear sky
117,Dali,CN,25.7,100.1833,62.53,47,50,7.16,scattered clouds
118,Faya,SA,18.3851,42.4509,46.92,22,1,0.63,clear sky
119,Tuatapere,NZ,-46.1333,167.6833,64.56,61,15,6.15,few clouds
120,Qaanaaq,GL,77.484,-69.3632,-13.94,58,21,7.96,few clouds
121,Shimoda,JP,34.6667,138.95,59.11,65,92,9.13,overcast clouds
122,Codrington,AU,-38.2667,141.9667,67.69,49,20,10.38,few clouds
123,Esperance,AU,-33.8667,121.9,72.88,48,0,6.98,clear sky
124,Coolum Beach,AU,-26.5333,153.1,83.34,65,7,6.62,clear sky
125,San Javier,ES,37.8063,-0.8374,58.71,83,100,24.0,overcast clouds
126,Sorong,ID,-0.8833,131.25,81.68,72,100,2.8,light rain
127,Nanortalik,GL,60.1432,-45.2371,26.62,69,100,4.94,overcast clouds
128,Nakhon Nayok,TH,14.1667,101.1,90.99,50,84,6.49,broken clouds
129,Bolkhov,RU,53.4433,36.0044,33.78,89,100,5.08,overcast clouds
130,Saldanha,ZA,-33.0117,17.9442,61.72,87,0,16.58,clear sky
131,Barrow,US,71.2906,-156.7887,1.42,78,0,14.97,clear sky
132,Semnan,IR,35.5729,53.3971,53.49,47,0,7.11,clear sky
133,Agvali,RU,42.5385,46.1197,25.59,95,100,3.6,overcast clouds
134,Bloemfontein,ZA,-29.1211,26.214,55.11,69,6,1.52,clear sky
135,Tasiilaq,GL,65.6145,-37.6368,19.56,62,100,7.96,overcast clouds
136,Ossora,RU,59.2353,163.0719,23.23,69,75,3.31,broken clouds
137,Vaini,TO,-21.2,-175.2,82.56,78,40,10.36,scattered clouds
138,Pathein,MM,16.7833,94.7333,86.13,55,57,7.23,broken clouds
139,East London,ZA,-33.0153,27.9116,68.77,69,61,17.36,broken clouds
140,Beidao,CN,34.5686,105.8933,54.18,31,96,15.08,overcast clouds
141,Saint-Philippe,RE,-21.3585,55.7679,76.59,82,8,7.4,clear sky
142,Mont-Dore,NC,-22.2833,166.5833,84.18,68,86,12.28,overcast clouds
143,Itarema,BR,-2.9248,-39.9167,76.89,86,54,6.44,broken clouds
144,Ikwiriri,TZ,-7.9562,38.9716,72.23,97,2,2.46,clear sky
145,Sibolga,ID,1.7427,98.7792,85.21,54,9,2.98,clear sky
146,Souillac,MU,-20.5167,57.5167,79.18,83,40,5.75,scattered clouds
147,Thompson,CA,55.7435,-97.8558,17.76,86,100,20.71,overcast clouds
148,Gamba,GA,-2.65,10.0,77.74,91,87,4.7,moderate rain
149,Chapais,CA,49.7834,-74.8492,29.98,98,100,10.02,snow
150,Berbera,SO,10.4396,45.0143,78.57,85,23,4.85,light rain
151,Baykit,RU,61.67,96.37,20.53,88,98,1.28,overcast clouds
152,Rehoboth,NA,-23.3167,17.0833,64.54,78,90,3.09,overcast clouds
153,Palana,RU,59.1167,159.9667,19.94,87,100,18.12,overcast clouds
154,Oksfjord,NO,70.2396,22.3479,26.67,92,100,6.53,light snow
155,Gaspe,CA,48.8334,-64.4819,30.42,74,100,4.61,overcast clouds
156,Hithadhoo,MV,-0.6,73.0833,83.82,69,25,19.35,scattered clouds
157,Seymchan,RU,62.8833,152.4333,10.56,74,100,2.46,overcast clouds
158,Hobyo,SO,5.3505,48.5268,80.98,77,93,5.64,light rain
159,Etchoropo,MX,26.7667,-109.6667,65.37,53,1,9.75,clear sky
160,Divnoye,RU,45.9089,43.3547,34.41,98,100,6.38,light snow
161,Kalofer,BG,42.6167,24.9833,33.03,63,12,5.23,few clouds
162,Mitsamiouli,KM,-11.3847,43.2844,82.29,75,75,3.65,broken clouds
